a	啊	5366043
a	阿	867275
a	吖	160000
a	锕	144
a	腌	1
a	呵	0
a	嗄	0
aa	啊啊	27365
aaa	啊啊啊	9820
aaaa	啊啊啊啊	9820
aba	阿爸	6170
abaaba	阿巴阿巴	9999
abasi	阿巴斯	9190
abi	阿鼻	9999
abian	阿扁	9570
abo	阿伯	9310
aboluo	阿波罗	25625
abu	啊不	3855
abuzhabi	阿布扎比	2860
abuzhidao	啊不知道	3855
achang	阿昌	2070
achangzu	阿昌族	2230
achengshi	阿城市	2660
achufo	阿閦佛	9999
adai	阿呆	30445
adaofu	阿道夫	5245
adeliyanuo	阿德里亚诺	6290
adi	阿迪	9999
adi	阿弟	2355
adidasi	阿迪达斯	18940
adie	阿爹	2640
adou	阿斗	6295
adu	阿杜	14885
aduo	阿朵	7830
aer	阿尔	92770
aer	阿二	2150
aerba	阿尔巴	2110
aerbaniya	阿尔巴尼亚	8750
aerbaniyagongheguo	阿尔巴尼亚共和国	9999
aerbeisi	阿尔卑斯	13740
aerbeisishan	阿尔卑斯山	9325
aerbeisishanmai	阿尔卑斯山脉	2195
aerfa	阿尔法	21090
aerfalizi	阿尔法粒子	3333
aerfuleide	阿尔弗雷德	3280
aerjier	阿尔及尔	2690
aerjiliya	阿尔及利亚	17070
aerjiliyaminzhurenmingongheguo	阿尔及利亚民主人民共和国	9999
aerkate	阿尔卡特	32905
aerpai	阿尔派	2745
aersasi	阿尔萨斯	5090
aershan	阿尔山	7765
aershanshi	阿尔山市	2275
aersitong	阿尔斯通	15365
aertai	阿尔泰	4770
aertaishan	阿尔泰山	3530
aertaiyuxi	阿尔泰语系	1790
afanti	阿凡提	29005
afei	阿飞	19945
afu	阿福	13100
afu	阿父	3100
afuhan	阿富汗	54219
afuhanzhanzheng	阿富汗战争	3055
afula	啊服啦	9999
agan	阿甘	10715
aganzhengzhuan	阿甘正传	4410
age	阿哥	28020
agen	阿根	3540
agenting	阿根廷	105480
agentingdui	阿根廷队	6925
agentinggongheguo	阿根廷共和国	9999
agentingren	阿根廷人	4545
agong	阿公	4360
aha	啊哈	11670
ahanjing	阿含经	2855
aheweinanma	阿赫韦南马	3333
ahong	阿訇	8340
ahu	阿虎	5610
ahua	阿华	10660
ahua	阿花	4560
ai	爱	1516399
ai	艾	212019
ai	哎	166400
ai	唉	139034
ai	哀	125269
ai	挨	83876
ai	埃	83548
ai	矮	81728
ai	碍	79505
ai	暧	21715
ai	癌	15319
ai	蔼	14033
ai	隘	8588
ai	皑	6424
ai	霭	6123
ai	嗳	3273
ai	嫒	1829
ai	毐	1013
ai	欸	534
ai	叆	376
ai	瑷	232
ai	砹	53
ai	锿	39
ai	嗌	1
aia	爱啊	6666
aiai	爱爱	9999
aiai	哎哎	8888
aiai	皑皑	5070
aiai	蔼蔼	3333
aiai	艾艾	2715
aiaibaixue	皑皑白雪	3740
aiaide	皑皑的	6205
aiaide	矮矮的	3455
aiaowazhou	艾奥瓦州	2709
aiba	爱吧	12625
aibaner	挨班儿	9999
aibanjieer	矮半截儿	9999
aibao	爱宝	2755
aibaoling	爱宝铃	6666
aibei	爱被	3333
aibei	爱呗	2222
aibian	癌变	16540
aibing	癌病	2880
aibing	爱兵	2480
aibolabingdu	埃博拉病毒	5220
aibu	爱不	5555
aibuai	爱不爱	5890
aibuaiwo	爱不爱我	2725
aibushishou	爱不释手	32605
aicai	爱才	11565
aicai	爱财	2170
aicao	艾草	2925
aichang	爱唱	3080
aichao	爱巢	5325
aiche	爱车	68500
aicheng	爱称	4360
aicheyizu	爱车一族	3490
aichi	爱吃	57020
aichou	哀愁	15335
aichuan	爱穿	5225
aicuo	爱错	1855
aida	挨打	27340
aida	爱打	4765
aidaban	爱打扮	1870
aidai	爱戴	39895
aidai	爱带	1835
aidang	爱党	6140
aidao	爱到	21915
aidao	哀悼	15305
aidao	挨到	5245
aidao	挨刀	3520
aide	爱的	377035
aide	爱得	38475
aide	矮的	5455
aide	挨得	2670
aidedaijia	爱的代价	2355
aidefengxian	爱的奉献	2585
aideganjue	爱的感觉	13470
aidege	爱的歌	2065
aidegushi	爱的故事	3755
aidehua	爱德华	33195
aidejia	埃德加	2580
aidejiaoyu	爱的教育	4360
aidejijie	爱的季节	3330
aideliliang	爱的力量	5300
aideliwu	爱的礼物	3333
aideren	爱的人	44255
aideshijie	爱的世界	2050
aidezhendi	爱的真谛	2515
aideziwei	爱的滋味	1815
aidi	艾迪	12025
aidingbao	爱丁堡	9530
aidingbaodaxue	爱丁堡大学	2010
aidisheng	爱迪生	15400
aidong	挨冻	1935
aidou	爱豆	9999
aidu	爱读	6980
aie	挨饿	11970
aierlan	爱尔兰	73610
aierlankafei	爱尔兰咖啡	4017
aierlanren	爱尔兰人	3235
aifei	爱妃	4295
aifeier	埃菲尔	4090
aifeiertieta	埃菲尔铁塔	4055
aifu	爱抚	46750
aifudun	埃弗顿	11945
aifusen	艾弗森	14945
aigang	爱岗	3460
aigangjingye	爱岗敬业	41855
aigao	哀告	1805
aige	挨个	10435
aige	矮个	3640
aigezi	矮个子	4100
aigongliang	爱弓凉	6666
aigou	爱狗	9215
aiguanxianshi	爱管闲事	2425
aigui	矮柜	2485
aiguo	爱国	146835
aiguo	爱过	36685
aiguo	挨过	6320
aiguoderen	爱过的人	5925
aiguojingshen	爱国精神	4150
aiguole	爱过了	2495
aiguolu	爱国路	1915
aiguoni	爱过你	5840
aiguorenshi	爱国人士	5350
aiguoreqing	爱国热情	8130
aiguoshiren	爱国诗人	2795
aiguotongyizhanxian	爱国统一战线	10465
aiguoweisheng	爱国卫生	11605
aiguoweishengyundong	爱国卫生运动	5075
aiguowo	爱过我	3745
aiguoxin	爱国心	3725
aiguoyundong	爱国运动	4530
aiguozhe	爱国者	59430
aiguozhishi	爱国志士	1990
aiguozhixin	爱国之心	2315
aiguozhuyi	爱国主义	82985
aiguozhuyijiaoyu	爱国主义教育	28865
aiguozhuyijingshen	爱国主义精神	8085
aiguozhuyizhe	爱国主义者	1995
aihamaide	艾哈迈德	9717
aihao	爱好	253780
aihao	哀号	8465
aihao	哀嚎	2222
aihaoguangfan	爱好广泛	3355
aihaoheping	爱好和平	8430
aihaowenxue	爱好文学	3115
aihaoyinyue	爱好音乐	2600
aihaozhe	爱好者	327435
aihaozhemen	爱好者们	9550
aihe	爱喝	10280
aihen	爱恨	13945
aihenjiaojia	爱恨交加	2030
aihenqingchou	爱恨情仇	6690
aihu	爱护	125590
aihua	矮化	4780
aihugongwu	爱护公物	4320
aihuo	爱火	3333
aiji	埃及	150005
aiji	爱己	5555
aijia	爱家	18875
aijia	挨家	2030
aijia	哀家	1870
aijiaaihu	挨家挨户	11057
aijiang	爱将	6550
aijiang	爱讲	2140
aijiangufen	爱建股份	12500
aijiao	哀叫	2665
aijiao	矮脚	2045
aijiaxiang	爱家乡	3195
